,titles,year,runtime,imbd,meta,vote,gross_amt
443,Nosferatu,1922,94,7.9,-,87208,
444,This Is Spinal Tap,1984,82,7.9,92        ,127167,0.19
445,Rushmore,1998,93,7.7,86        ,166663,17.11
446,Despicable Me,2010,95,7.6,72        ,493335,251.51
447,The Raid: Redemption,2011,101,7.6,73        ,188040,4.11
448,Dangal,2016,161,8.4,-,149882,12.39
449,Only the Brave,2017,134,7.6,72        ,55624,18.34
450,Detachment,2011,98,7.7,52        ,75468,0.07
451,Dawn of the Dead,1978,127,7.9,71        ,109784,5.1
452,Falling Down,1993,113,7.6,56        ,167587,40.9
453,Dogville,2003,178,8.0,60        ,135685,1.53
454,To Kill a Mockingbird,1962,129,8.2,88        ,290174,
455,Frankenstein,1931,70,7.8,91        ,63907,
456,A Bronx Tale,1993,121,7.8,80        ,125793,17.27
457,La Haine,1995,98,8.1,-,145969,0.31
458,Rain Man,1988,133,8.0,65        ,466871,178.8
459,Boyhood,2014,165,7.9,100        ,331915,25.38
460,Lost Highway,1997,134,7.6,52        ,128424,3.8
461,Empire of the Sun,1987,153,7.7,62        ,113771,22.24
462,Paddington 2,2017,103,7.8,88        ,58682,40.44
463,"Synecdoche, New York",2008,124,7.6,67        ,81076,3.08
464,Das Boot,1981,149,8.3,86        ,227885,11.49
465,Straight Outta Compton,2015,147,7.8,72        ,176901,161.2
466,Wild Tales,2014,122,8.1,77        ,172134,3.11
467,In the Mood for Love,2000,98,8.1,85        ,120385,2.73
468,The Farewell,2019,100,7.6,89        ,46296,16.88
469,The Boondock Saints,1999,108,7.8,44        ,225317,0.03
470,Doctor Zhivago,1965,197,8.0,69        ,68684,111.72
471,Life of Pi,2012,127,7.9,79        ,572599,124.99
472,As Good as It Gets,1997,139,7.7,67        ,271087,148.48
473,Roma,2018,135,7.7,96        ,136006,
474,Ray,2004,152,7.7,73        ,136624,75.33
475,Traffic,2000,147,7.6,86        ,193781,124.12
476,Singin' in the Rain,1952,103,8.3,99        ,214609,8.82
477,The Great Escape,1963,172,8.2,86        ,220963,12.1
478,Dil Bechara,2020,101,7.9,-,104271,
479,Breakfast at Tiffany's,1961,115,7.6,76        ,163909,
480,Cinema Paradiso,1988,155,8.5,80        ,225029,11.99
481,Eastern Promises,2007,100,7.6,82        ,224748,17.11
482,Awakenings,1990,121,7.8,74        ,121799,52.1
483,Toy Story 2,1999,92,7.9,88        ,517506,245.85
484,Dark City,1998,100,7.6,66        ,185898,14.38
485,Planet of the Apes,1968,112,8.0,79        ,163464,33.4
486,National Lampoon's Christmas Vacation,1989,97,7.6,49        ,148729,71.32
487,A Silent Voice: The Movie,2016,130,8.1,78        ,42397,
488,My Neighbor Totoro,1988,86,8.2,86        ,281670,1.11
489,Metropolis,1927,153,8.3,98        ,157244,1.24
490,"Paris, Texas",1984,145,8.1,78        ,87663,2.18
491,Philadelphia,1993,125,7.7,66        ,220650,77.32
492,Lethal Weapon,1987,109,7.6,68        ,233251,65.21
493,Ben-Hur,1959,212,8.1,90        ,215950,74.7
494,Klaus,2019,96,8.2,65        ,76844,
495,JFK,1991,189,8.0,72        ,139503,70.41
496,A Fistful of Dollars,1964,99,8.0,65        ,194111,14.5
497,The Innocents,1961,100,7.8,88        ,26187,2.62
498,Before Sunset,2004,80,8.1,90        ,230636,5.82
499,End of Watch,2012,109,7.6,68        ,225336,41.0
500,Hachi: A Dog's Tale,2009,93,8.1,-,247579,
501,Monty Python's Life of Brian,1979,94,8.1,77        ,361330,20.05
502,Sunset Blvd.,1950,110,8.4,-,197483,
503,Butch Cassidy and the Sundance Kid,1969,110,8.0,66        ,199782,102.31
504,The Seventh Seal,1957,96,8.2,88        ,160715,
505,Ghost in the Shell,1995,83,8.0,76        ,126380,0.52
506,The Wrestler,2008,109,7.9,80        ,287069,26.24
507,Ed Wood,1994,127,7.8,70        ,163404,5.89
508,Shoplifters,2018,121,8.0,93        ,58018,3.31
509,Kung Fu Hustle,2004,99,7.7,78        ,125418,17.11
510,Gandhi,1982,191,8.0,79        ,215771,52.77
511,The Color Purple,1985,154,7.8,78        ,76943,98.47
512,7 Kogustaki Mucize,2019,132,8.3,-,30002,
513,The Jungle Book,1967,78,7.6,65        ,163333,141.84
514,Some Like It Hot,1959,121,8.2,98        ,239574,25.0
515,October Sky,1999,108,7.8,71        ,81161,32.48
516,Match Point,2005,124,7.6,72        ,203724,23.09
517,Loveless,2017,127,7.6,86        ,28762,0.57
518,Lord of War,2005,122,7.6,62        ,290875,24.15
519,Andhadhun,2018,139,8.3,-,67222,1.37
520,The Conversation,1974,113,7.8,85        ,96255,4.42
521,The Fall,2006,117,7.9,64        ,106213,2.28
522,Ip Man,2008,106,8.0,59        ,208915,
523,Battle Royale,2000,114,7.6,81        ,167084,
524,The Sting,1973,129,8.3,83        ,237657,159.6
525,The Bridge on the River Kwai,1957,161,8.1,87        ,200029,44.91
526,"Planes, Trains and Automobiles",1987,93,7.6,72        ,119966,49.53
527,Annie Hall,1977,93,8.0,92        ,249150,39.2
528,Perfect Blue,1997,81,8.0,-,55143,0.78
529,Dawn of the Planet of the Apes,2014,130,7.6,79        ,407896,208.55
530,The Lego Movie,2014,100,7.7,83        ,320453,257.76
531,The Ten Commandments,1956,220,7.9,-,62617,93.74
532,"Blood In, Blood Out",1993,180,8.0,47        ,28447,4.5
533,How to Train Your Dragon 2,2014,102,7.8,76        ,300042,177.0
534,"Crouching Tiger, Hidden Dragon",2000,120,7.8,94        ,250368,128.08
535,Dirty Harry,1971,102,7.7,90        ,141265,35.9
536,This Is England,2006,101,7.7,86        ,114558,0.33
537,Before Midnight,2013,109,7.9,94        ,137743,8.11
538,In the Name of the Father,1993,133,8.1,84        ,153836,25.01
539,The Illusionist,2006,110,7.6,68        ,351588,39.87
540,The Bridges of Madison County,1995,135,7.6,66        ,71654,71.52
541,After Hours,1985,97,7.7,90        ,57431,10.6
542,Enter the Dragon,1973,102,7.7,83        ,94903,25.0
543,Funny Games,1997,108,7.6,69        ,63323,
544,Robin Hood,1973,83,7.6,57        ,113461,32.06
545,The Last Emperor,1987,163,7.7,76        ,92479,43.98
546,Billy Elliot,2000,110,7.7,74        ,124633,22.0
547,Kramer vs. Kramer,1979,105,7.8,77        ,130699,106.26
548,Escape from Alcatraz,1979,112,7.6,76        ,118455,43.0
549,Malcolm X,1992,202,7.7,73        ,84006,48.17
550,Blood Simple,1984,99,7.6,82        ,86010,2.15
551,Harakiri,1962,133,8.6,85        ,38581,
552,Kiki's Delivery Service,1989,103,7.8,83        ,119519,
553,The Outlaw Josey Wales,1976,135,7.8,69        ,64523,31.8
554,Naked,1993,132,7.8,84        ,33573,1.77
555,For a Few Dollars More,1965,132,8.3,74        ,227985,15.0
556,All the President's Men,1976,138,8.0,84        ,100512,70.6
557,The Name of the Rose,1986,130,7.7,54        ,99789,7.15
558,The Last Picture Show,1971,118,8.0,93        ,41544,29.13
559,Die Hard with a Vengeance,1995,128,7.6,58        ,358680,100.01
560,Ran,1985,162,8.2,96        ,109897,4.14
561,50/50,2011,100,7.6,72        ,312798,35.01
562,The General,1926,67,8.1,-,79375,1.03
563,A Separation,2011,123,8.3,95        ,215506,7.1
564,Giant,1956,201,7.6,84        ,33462,
565,Amores Perros,2000,154,8.1,83        ,220335,5.38
566,Paths of Glory,1957,88,8.4,90        ,174169,
567,Glengarry Glen Ross,1992,100,7.7,82        ,94355,10.73
568,Gangs of Wasseypur,2012,321,8.2,89        ,79426,
569,The French Connection,1971,104,7.7,94        ,108036,15.63
570,Ponyo,2008,101,7.7,86        ,121472,15.09
571,Snow White and the Seven Dwarfs,1937,83,7.6,95        ,178228,184.93
572,I Am Sam,2001,132,7.7,28        ,141567,40.31
573,Sling Blade,1996,135,8.0,84        ,85983,24.48
574,Bride of Frankenstein,1935,75,7.8,95        ,42551,4.36
575,Hotel Rwanda,2004,121,8.1,79        ,330503,23.53
576,The Iron Giant,1999,86,8.0,85        ,169210,23.16
577,M,1931,99,8.3,-,140497,0.03
578,La Vie En Rose,2007,140,7.6,66        ,81689,10.3
579,Papillon,1973,151,8.0,58        ,119924,53.27
580,The Man from Earth,2007,87,7.9,-,171513,
581,The Artist,2011,100,7.9,89        ,228136,44.67
582,Serpico,1973,130,7.7,87        ,107471,29.8
583,Taare Zameen Par,2007,165,8.4,-,163530,1.22
584,Cool Hand Luke,1967,127,8.1,92        ,159212,16.22
585,8½,1963,138,8.0,-,107018,0.05
586,Seven Pounds,2008,123,7.6,36        ,283229,69.95
587,On the Waterfront,1954,108,8.1,91        ,139523,9.6
588,Nausicaä of the Valley of the Wind,1984,117,8.1,86        ,146513,0.5
589,The Wild Bunch,1969,135,7.9,97        ,76414,12.06
590,Barton Fink,1991,116,7.7,69        ,111466,6.15
591,Once,2007,86,7.8,88        ,109483,9.44
592,What Ever Happened to Baby Jane?,1962,134,8.1,75        ,49111,4.05
593,Freaks,1932,64,7.9,80        ,41404,
594,Clerks,1994,92,7.7,70        ,209795,3.15
595,To Be or Not to Be,1942,99,8.2,86        ,28207,
596,Solaris,1972,167,8.1,90        ,78944,
597,Cabaret,1972,124,7.8,80        ,47533,42.77
598,Network,1976,121,8.1,83        ,142697,
599,Mississippi Burning,1988,128,7.8,65        ,86484,34.6
600,The Body,2012,112,7.6,-,55235,
601,Dial M for Murder,1954,105,8.2,75        ,154675,0.01
602,Midnight Express,1978,121,7.6,59        ,72509,35.0
603,King Kong,1933,100,7.9,90        ,77821,10.0
604,The Raid 2,2014,150,8.0,71        ,112632,2.63
605,The Best Offer,2013,131,7.8,49        ,105903,0.09
606,A Streetcar Named Desire,1951,122,8.0,97        ,97676,8.0
607,The Apartment,1960,125,8.3,94        ,160453,18.6
608,Peeping Tom,1960,101,7.7,-,30362,0.08
609,Mother,2009,129,7.8,79        ,49869,0.55
610,Bonnie and Clyde,1967,111,7.8,86        ,100710,
611,Dancer in the Dark,2000,140,8.0,61        ,100546,4.18
612,Finding Neverland,2004,106,7.7,67        ,196762,51.68
613,Hero,2002,120,7.9,85        ,172547,53.71
614,The Man Who Shot Liberty Valance,1962,123,8.1,94        ,67598,
615,Rebel Without a Cause,1955,111,7.7,89        ,82030,
616,The Invisible Man,1933,71,7.7,87        ,29629,
617,Ordinary People,1980,124,7.7,86        ,46060,54.8
618,My Fair Lady,1964,170,7.8,95        ,85169,72.0
619,A Little Princess,1995,97,7.7,83        ,31676,10.02
620,The Tenant,1976,126,7.7,-,38860,1.92
621,The Dirty Dozen,1967,150,7.7,73        ,66153,45.3
622,Dangerous Liaisons,1988,119,7.6,74        ,63644,34.7
623,The King of Comedy,1982,109,7.8,73        ,85332,2.5
624,Roman Holiday,1953,118,8.0,78        ,125320,
625,Happiness,1998,134,7.7,81        ,65669,2.81
626,Star Trek II: The Wrath of Khan,1982,113,7.7,67        ,111233,78.91
627,21 Grams,2003,124,7.7,70        ,222050,16.29
628,In the Heat of the Night,1967,110,7.9,75        ,66418,24.38
629,All About Eve,1950,138,8.2,98        ,118461,0.01
630,Eyes Without a Face,1960,90,7.7,90        ,26632,0.05
631,Badlands,1973,94,7.8,93        ,64464,
632,The Maltese Falcon,1941,100,8.0,96        ,147254,2.11
633,Where Eagles Dare,1968,158,7.7,63        ,51018,
634,The Great Dictator,1940,125,8.4,-,198916,0.29
635,Lucky Number Slevin,2006,110,7.7,53        ,297436,22.49
636,Short Term 12,2013,96,8.0,82        ,80239,1.01
637,Drishyam,2015,163,8.2,-,67065,0.74
638,Double Indemnity,1944,107,8.3,95        ,140714,5.72
639,Beasts of No Nation,2015,137,7.7,79        ,72193,0.08
640,Tumbbad,2018,104,8.3,-,25118,
641,Persona,1966,83,8.1,86        ,100015,
642,Fanny and Alexander,1982,188,8.1,100        ,56591,4.97
643,The Great Beauty,2013,141,7.8,86        ,79336,2.85
644,Baahubali: The Beginning,2015,159,8.1,-,100751,6.74
645,Wings of Desire,1987,128,8.0,79        ,63385,3.33
646,A Man Called Ove,2015,116,7.7,70        ,45566,3.36
647,Flipped,2010,90,7.7,45        ,80257,1.75
648,The Insider,1999,157,7.8,84        ,157616,28.97
649,Rope,1948,80,8.0,73        ,126925,
650,Pink Floyd: The Wall,1982,95,8.1,47        ,75102,22.24
651,The Exterminating Angel,1962,95,8.1,-,29034,
652,The Remains of the Day,1993,134,7.8,84        ,64477,22.95
653,The Cabinet of Dr. Caligari,1920,67,8.1,-,56089,
654,A Christmas Story,1983,94,7.9,77        ,127930,20.61
655,Castle in the Sky,1986,125,8.0,78        ,146518,
656,Sing Street,2016,106,7.9,79        ,83414,3.24
657,Mommy,2014,139,8.1,74        ,49187,3.49
658,Days of Heaven,1978,94,7.8,93        ,51547,
659,Chungking Express,1994,102,8.1,77        ,60750,0.6
660,Paprika,2006,90,7.7,81        ,69245,0.88
661,Fiddler on the Roof,1971,181,8.0,67        ,38631,80.5
662,La Dolce Vita,1960,174,8.0,95        ,65152,19.52
663,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73        ,190466,52.04
664,Cape Fear,1962,106,7.7,76        ,25896,
665,Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,-,37042,
666,Modern Times,1936,87,8.5,96        ,213002,0.16
667,Death Note,2006,126,7.7,-,28314,
668,All That Jazz,1979,123,7.9,72        ,27527,37.82
669,Three Colors: Red,1994,99,8.1,100        ,88572,4.04
670,Witness for the Prosecution,1957,116,8.4,-,105834,8.18
671,Rio Bravo,1959,141,8.0,93        ,55139,12.54
672,Kubo and the Two Strings,2016,101,7.8,84        ,115762,48.02
673,The Straight Story,1999,112,8.0,86        ,80456,6.2
674,Charade,1963,113,7.9,83        ,66877,13.47
675,Hamlet,1996,242,7.7,-,35653,4.41
676,Three Colors: Blue,1993,94,7.9,85        ,87208,1.32
677,Blow-Up,1966,111,7.6,82        ,55398,
678,Black Book,2006,145,7.7,71        ,71833,4.4
679,Sabrina,1954,113,7.7,72        ,58114,
680,Breathless,1960,90,7.9,-,71612,0.34
681,Letters from Iwo Jima,2006,141,7.9,89        ,152558,13.76
682,The Last King of Scotland,2006,123,7.7,74        ,173361,17.61
683,Frost/Nixon,2008,122,7.7,80        ,101812,18.59
684,The Secret World of Arrietty,2010,94,7.6,80        ,78454,19.2
685,Manhattan,1979,96,7.9,83        ,129770,45.7
686,The Broken Circle Breakdown,2012,111,7.8,70        ,38809,0.18
687,Me and Earl and the Dying Girl,2015,105,7.7,74        ,121237,6.74
688,East of Eden,1955,118,7.9,72        ,39622,
689,Cinderella Man,2005,144,8.0,69        ,174038,61.65
690,The Wind Rises,2013,126,7.8,83        ,71027,5.21
691,Victoria,2015,138,7.6,77        ,51361,
692,Stagecoach,1939,96,7.8,93        ,42614,
693,Mary and Max,2009,92,8.1,-,161951,
694,Rashomon,1950,88,8.2,98        ,149400,0.1
695,The Third Man,1949,93,8.1,97        ,156225,0.45
696,Tangerines,2013,87,8.2,73        ,38147,0.14
697,Harold and Maude,1971,91,7.9,62        ,69823,
698,Repulsion,1965,105,7.7,91        ,48018,
699,Patton,1970,172,7.9,91        ,92745,61.7
700,25th Hour,2002,135,7.6,68        ,168336,13.06
701,Guess Who's Coming to Dinner,1967,108,7.8,63        ,38646,56.7
702,Breaking the Waves,1996,159,7.8,76        ,61445,4.04
703,It Happened One Night,1934,105,8.1,87        ,92008,4.36
704,The Killing Fields,1984,141,7.8,76        ,50833,34.7
705,The Wave,2008,107,7.6,-,101225,
706,Pride,2014,119,7.8,79        ,50893,
707,Strangers on a Train,1951,101,7.9,88        ,121646,7.63
708,Baahubali 2: The Conclusion,2017,167,8.2,-,73125,20.19
709,Sherlock Jr.,1924,45,8.2,-,40303,0.98
710,Judgment at Nuremberg,1961,179,8.2,60        ,67968,
711,The Mirror,1975,107,8.1,-,38573,0.18
712,The Verdict,1982,129,7.7,77        ,35332,54.0
713,Amour,2012,127,7.9,94        ,91626,6.74
714,Open Your Eyes,1997,119,7.7,-,63204,0.37
715,PK,2014,153,8.1,-,158462,10.62
716,The Man from Nowhere,2010,119,7.8,-,61409,0.01
717,My Left Foot,1989,103,7.9,97        ,66664,14.74
718,Kelly's Heroes,1970,144,7.6,50        ,44552,1.38
719,Nebraska,2013,115,7.7,87        ,111063,17.65
720,Fantasia,1940,125,7.7,96        ,87232,76.41
721,Touch of Evil,1958,95,8.0,99        ,97242,2.24
722,Dead Man's Shoes,2004,90,7.6,52        ,48744,0.01
723,The Secret of NIMH,1982,82,7.6,76        ,35683,10.14
724,Ikiru,1952,143,8.3,-,66268,0.06
725,Run Lola Run,1998,80,7.6,77        ,186575,7.27
726,The Celebration,1998,105,8.0,82        ,76716,1.65
727,Dead Man,1995,121,7.6,62        ,89059,1.04
728,From Here to Eternity,1953,118,7.6,85        ,42610,30.5
729,His Girl Friday,1940,92,7.9,-,52591,0.3
730,The Day of the Jackal,1973,143,7.8,80        ,36763,16.06
731,The Night of the Hunter,1955,92,8.0,99        ,80612,0.65
732,Loving Vincent,2017,94,7.8,62        ,49022,6.74
733,The Best Years of Our Lives,1946,170,8.0,93        ,56523,23.65
734,Wild Strawberries,1957,91,8.2,88        ,93770,
735,The Red Shoes,1948,135,8.1,-,30182,10.9
736,The Chaser,2008,125,7.8,64        ,56817,
737,The World's Fastest Indian,2005,127,7.8,68        ,51426,5.13
738,The Killing,1956,84,8.0,91        ,80142,
739,Perfect Strangers,2016,96,7.8,-,55037,
740,The Hustler,1961,134,8.0,90        ,74258,8.28
741,The Shop Around the Corner,1940,99,8.1,96        ,27000,0.2
742,Notorious,1946,102,7.9,100        ,90899,10.46
743,Lagaan: Once Upon a Time in India,2001,224,8.1,84        ,103169,0.07
744,Infernal Affairs,2002,101,8.0,75        ,116772,0.17
745,Mysterious Skin,2004,105,7.6,73        ,65268,0.7
746,Thank You for Smoking,2005,92,7.6,71        ,211485,24.79
747,The Big Sleep,1946,114,7.9,-,77800,6.54
748,"I, Daniel Blake",2016,100,7.9,78        ,52092,0.26
749,Bicycle Thieves,1948,89,8.3,-,142838,0.33
750,Belle de Jour,1967,100,7.7,-,39412,0.03
751,City Lights,1931,87,8.5,99        ,164104,0.02
752,Good Bye Lenin!,2003,121,7.7,68        ,136222,4.06
753,Whisper of the Heart,1995,111,7.9,75        ,49691,
754,The Double Life of Véronique,1991,98,7.8,86        ,41019,2.0
755,The Longest Day,1962,178,7.8,75        ,51557,39.1
756,The Manchurian Candidate,1962,126,7.9,94        ,70405,
757,Children of Heaven,1997,89,8.3,77        ,63180,0.93
758,"Spring, Summer, Fall, Winter... and Spring",2003,103,8.0,85        ,75995,2.38
759,Watership Down,1978,91,7.6,64        ,33194,
760,Anatomy of a Murder,1959,161,8.0,95        ,58765,11.9
761,Waking Life,2001,99,7.8,83        ,60095,2.89
762,Being There,1979,130,8.0,83        ,64546,30.18
763,High and Low,1963,143,8.4,-,32143,
764,Paper Moon,1973,102,8.1,77        ,41508,30.93
765,La Strada,1954,108,8.0,-,57320,
766,The Day the Earth Stood Still,1951,92,7.7,-,75594,
767,The Treasure of the Sierra Madre,1948,126,8.2,98        ,112284,5.01
768,The Adventures of Robin Hood,1938,102,7.9,97        ,46569,3.98
769,Invasion of the Body Snatchers,1956,80,7.7,92        ,44145,
770,Fallen Angels,1995,99,7.7,71        ,25062,
771,The Motorcycle Diaries,2004,126,7.8,75        ,95694,16.76
772,The Diving Bell and the Butterfly,2007,112,8.0,92        ,102330,5.99
773,The Conformist,1970,113,8.0,100        ,26267,0.54
774,Porco Rosso,1992,94,7.7,83        ,75057,
775,On Golden Pond,1981,109,7.6,68        ,27154,119.29
776,Winter Sleep,2014,196,8.1,88        ,44320,0.17
777,Song of the Sea,2014,93,8.1,85        ,49647,0.86
778,The Quiet Man,1952,129,7.7,-,34009,10.55
779,Short Cuts,1993,188,7.7,79        ,41773,6.11
780,The 400 Blows,1959,99,8.1,-,102758,
781,Yojimbo,1961,110,8.2,-,108655,
782,5 Centimeters Per Second,2007,63,7.6,-,49718,
783,Zulu,1964,138,7.7,77        ,35335,
784,All About My Mother,1999,101,7.8,87        ,87670,8.26
785,Andrei Rublev,1966,205,8.1,-,45321,0.1
786,The Muppet Movie,1979,95,7.6,74        ,32113,76.66
787,The Vanishing,1988,107,7.7,-,33242,
788,The Philadelphia Story,1940,112,7.9,96        ,62416,
789,Secrets & Lies,1996,136,8.0,91        ,36736,13.42
790,Red River,1948,133,7.8,-,27630,
791,Laura,1944,88,8.0,-,41957,4.36
792,K.G.F: Chapter 1,2018,156,8.2,-,32507,
793,Withnail & I,1987,107,7.7,84        ,39634,1.54
794,Who's Afraid of Virginia Woolf?,1966,131,8.0,75        ,68125,
795,The Little Prince,2015,108,7.7,70        ,55482,1.34
796,Sympathy for Mr. Vengeance,2002,129,7.6,56        ,61465,0.05
797,The Man Who Would Be King,1975,129,7.8,91        ,43336,
798,The Long Goodbye,1973,112,7.6,87        ,25505,0.96
799,Delicatessen,1991,99,7.6,66        ,79449,1.79
800,Leviathan,2014,140,7.6,92        ,48348,1.09
801,Philomena,2013,98,7.6,77        ,93120,37.71
802,"Aguirre, the Wrath of God",1972,95,7.9,-,51317,
803,The Tale of The Princess Kaguya,2013,137,8.0,89        ,36975,1.51
804,A Very Long Engagement,2004,133,7.6,76        ,70364,6.17
805,Talk to Her,2002,112,7.9,86        ,103297,9.28
806,Wait Until Dark,1967,108,7.8,81        ,27296,17.55
807,The Battle of Algiers,1966,121,8.1,96        ,51645,0.06
808,Elite Squad,2007,115,8.1,33        ,96934,0.01
809,Hannah and Her Sisters,1986,107,7.9,90        ,66144,40.08
810,When Marnie Was There,2014,103,7.7,72        ,31166,0.77
811,Arsenic and Old Lace,1944,118,8.0,-,64374,
812,The Hurricane,1999,146,7.6,74        ,90437,50.67
813,The Kid,1921,68,8.3,-,110274,5.45
814,Hedwig and the Angry Inch,2001,95,7.7,85        ,31597,3.03
815,The Lion in Winter,1968,134,7.9,-,28569,22.28
816,Le Samouraï,1967,101,8.1,-,44324,0.04
817,Tokyo Story,1953,136,8.2,-,51183,
818,The White Ribbon,2009,144,7.8,82        ,67689,2.22
819,The Return,2003,110,8.0,82        ,41615,0.5
820,Three Colors: White,1994,92,7.6,88        ,62480,1.46
821,Underground,1995,167,8.1,-,54442,0.17
822,The Message,1976,177,8.2,-,43141,
823,All Quiet on the Western Front,1930,152,8.0,91        ,56602,3.27
824,The Grapes of Wrath,1940,129,8.0,96        ,84854,0.06
825,Talvar,2015,132,8.2,-,30265,0.34
826,Contempt,1963,102,7.6,-,28226,0.04
827,Gully Boy,2019,153,8.1,65        ,30235,5.57
828,Shadow of a Doubt,1943,108,7.8,94        ,58390,
829,Mr. Smith Goes to Washington,1939,129,8.1,73        ,105110,9.6
830,3-Iron,2004,88,8.0,72        ,49184,0.24
831,Land of Mine,2015,100,7.8,75        ,34305,0.44
832,To Have and Have Not,1944,100,7.8,-,30468,
833,Fitzcarraldo,1982,158,8.1,-,30783,
834,Diabolique,1955,117,8.0,-,60609,
835,The Station Agent,2003,89,7.6,81        ,66786,5.74
836,The Wages of Fear,1953,131,8.1,85        ,53375,
837,Once Were Warriors,1994,102,7.9,77        ,31087,2.2
838,Lifeboat,1944,97,7.6,78        ,26023,
839,The Taking of Pelham One Two Three,1974,104,7.7,68        ,25984,
840,Head-On,2004,121,7.9,78        ,50527,
841,Ninja Scroll,1993,94,7.9,-,34023,
842,Control,2007,122,7.7,78        ,60869,0.87
843,Lilya 4-Ever,2002,109,7.8,82        ,42082,0.18
844,Cat on a Hot Tin Roof,1958,108,8.0,84        ,44237,17.57
845,The African Queen,1951,105,7.7,91        ,70504,0.54
846,Shine,1996,105,7.7,87        ,50732,35.81
847,In a Lonely Place,1950,94,8.0,-,25657,
848,Duck You Sucker,1971,138,7.6,77        ,29533,0.7
849,A Prophet,2009,155,7.9,90        ,92407,2.08
850,The Hidden Fortress,1958,126,8.1,-,33692,
851,White Heat,1949,114,8.1,-,29176,
852,Ayla: The Daughter of War,2017,125,8.4,-,32665,
853,The Salesman,2016,124,7.8,85        ,49319,2.4
854,In America,2002,105,7.7,76        ,40157,15.54
855,Gilda,1946,110,7.7,-,27411,
856,Cowboy Bebop: The Movie,2001,115,7.9,61        ,42225,1.0
857,Ivan's Childhood,1962,84,8.1,-,30604,
858,Rififi,1955,118,8.2,97        ,27147,0.06
859,Kal ho naa ho,2003,186,8.0,54        ,62337,1.79
860,Night on Earth,1991,129,7.8,68        ,54308,2.02
861,Zindagi Na Milegi Dobara,2011,155,8.1,-,66192,3.11
862,A Man for All Seasons,1966,120,7.7,72        ,30696,28.35
863,Love Me If You Dare,2003,93,7.6,45        ,66656,0.55
864,Miracle on 34th Street,1947,96,7.9,88        ,39205,2.65
865,Amarcord,1973,123,7.9,-,39121,
866,The Experiment,2001,120,7.7,60        ,90157,0.14
867,The Sea Inside,2004,126,8.0,74        ,76611,2.09
868,The 39 Steps,1935,86,7.6,93        ,50868,
869,Bajrangi Bhaijaan,2015,163,8.0,-,70455,8.18
870,The Bandit,1996,128,8.2,-,62490,
871,Stalag 17,1953,120,8.0,84        ,50501,
872,The Lady Vanishes,1938,96,7.8,-,46481,
873,Chhichhore,2019,143,8.2,-,30459,0.9
874,Uri: The Surgical Strike,2019,138,8.3,-,41816,4.19
875,The Lunchbox,2013,104,7.8,76        ,49356,4.23
876,Cries & Whispers,1972,91,8.1,-,29396,1.74
877,Fearless,2006,104,7.6,70        ,72246,24.63
878,Wolf Children,2012,117,8.1,71        ,37586,
879,Throne of Blood,1957,110,8.1,-,45481,
880,Bringing Up Baby,1938,102,7.9,91        ,54189,
881,Crimes and Misdemeanors,1989,104,7.9,77        ,53831,18.25
882,The Odd Couple,1968,105,7.7,86        ,31059,44.53
883,Jules and Jim,1962,105,7.8,97        ,36796,
884,The Discreet Charm of the Bourgeoisie,1972,102,7.9,93        ,37710,0.2
885,After the Wedding,2006,120,7.7,78        ,31507,0.41
886,Rang De Basanti,2006,167,8.2,-,109742,2.2
887,Mustang,2015,97,7.6,83        ,34901,0.85
888,The Secret of Kells,2009,75,7.6,81        ,30616,0.69
889,Persepolis,2007,96,8.0,90        ,87407,4.45
890,Haider,2014,160,8.1,-,49649,0.9
891,My Name Is Khan,2010,165,8.0,50        ,97079,4.02
892,Raise the Red Lantern,1991,125,8.1,-,28980,2.6
893,The Gold Rush,1925,95,8.2,-,98472,5.45
894,Kagemusha,1980,162,8.0,84        ,31530,
895,Harvey,1950,104,7.9,-,52094,
896,My Father and My Son,2005,112,8.3,-,76806,
897,Rockstar,2011,159,7.7,-,38595,0.99
898,Hiroshima Mon Amour,1959,90,7.9,-,27672,0.09
899,Once Upon a Time in Anatolia,2011,157,7.9,82        ,40286,0.14
900,Hard Boiled,1992,128,7.8,-,46125,
901,Battleship Potemkin,1925,66,8.0,-,52116,0.05
902,Brief Encounter,1945,86,8.0,92        ,34771,
903,Batman: Mask of the Phantasm,1993,76,7.8,-,42867,5.62
904,Elite Squad 2: The Enemy Within,2010,115,8.0,71        ,78446,0.1
905,Kahaani,2012,122,8.1,-,56784,1.04
906,The Chorus,2004,97,7.9,56        ,56489,3.64
907,The Passion of Joan of Arc,1928,114,8.1,-,46290,0.02
908,Darbareye Elly,2009,119,8.0,87        ,44164,0.11
909,The Virgin Spring,1960,89,8.1,-,26188,1.53
910,Pink,2016,136,8.1,-,38065,1.24
911,Sholay,1975,162,8.2,-,50489,
912,Lupin the 3rd: Castle of Cagliostro,1979,102,7.7,71        ,26170,
913,C.R.A.Z.Y.,2005,129,7.9,81        ,31226,
914,Il Postino,1994,108,7.7,81        ,33037,21.85
915,Anand,1971,122,8.5,-,28814,
916,Evil,2003,113,7.8,61        ,35260,0.02
917,Queen,2013,146,8.2,-,59841,1.43
918,The Thin Man,1934,91,8.0,86        ,25932,
919,Only Yesterday,1991,118,7.6,90        ,25872,0.45
